title	location	description	startDate	endDate	url	imageUrl	type
David Hockney: Works from the Collections of Jordan D. Schnitzer and His Family Foundation	Portland Art Museum, Portland, OR, USA	August 2021, Landscape with Shadows	2026-02-14	2026-07-26	https://portlandartmuseum.org/event/david-hockney/	https://www.hockney.com/img/exhibitions/IPD-2819.jpg	current
David Hockney: Bigger & Closer (not smaller & further away)	IMBA Theatre, Singapore	David Hockney: Bigger & Closer (not smaller & further away)	2026-02-13	2026-05-15	https://imbaglobal.com/whats-on/bigger-closer-(not-smaller-further-away)	https://www.hockney.com/img/exhibitions/Lightroom_Hockney_Bigger_and_Closer_title_card_sm.jpg	current
David Hockney: 20 Flowers for 2025 And Some Bigger Pictures	Salts Mill, Saltaire, West Yorkshire, UK	25th June 2022, Looking at the Flowers (Framed)	2025-01-01		https://saltsmill.org.uk/#arrival	https://www.hockney.com/img/exhibitions/PD-038_mstr.jpg	current
David Hockney: A Permanent Collection	Salts Mill, Saltaire, West Yorkshire, UK	Salts Mill, Saltaire, Yorkshire 1997, Oil on 2 canvases - Ongoing Exhibition			https://www.hockney.com/exhibitions/current	https://www.hockney.com/img/exhibitions/97C08.jpg	current
Sous la pluie. Peindre, vivre et rêver.	Musée d'Arts de Nantes, Nantes, France	"Rain" from "The Weather Series", 1973	2025-11-07	2026-03-01	https://museedartsdenantes.nantesmetropole.fr/	https://www.hockney.com/img/exhibitions/P73IE_98.jpg	past
Some Very, Very, Very New Paintings Not Yet Shown in Paris	Annely Juda Fine Art, London, UK	Vincent's Chair and Gauguin's Chair, 4 July 2025	2025-11-07	2026-02-28	https://www.annelyjudafineart.co.uk/exhibitions/396-david-hockney-the-moon-room-and-some-very-very-very/overview/	https://www.hockney.com/img/exhibitions/Screenshot_2025-09-02_at_9.10.53%E2%80%AFAM.png	past
David Hockney. Le Chant de la Terre	Musée des Beaux-Arts de Mons, Mons, Belgium	Summer Sky, 2008	2025-10-04	2026-01-25	https://musees-expos.mons.be/nos-lieux/cap/cap-musee-des-beaux-arts/expositions-temporaires/david-hockney-le-chant-de-la-terre	https://www.hockney.com/img/exhibitions/CD_054.jpg	past
David Hockney: Bigger & Closer (not smaller & further away)	Aranya, China	David Hockney: Bigger & Closer (not smaller & further away)	2025-07-18	2026-01-18	https://detail.damai.cn/item.htm?spm=a2oeg.search_category.0.0.300f349e5lK5rQ&id=955834565654	https://www.hockney.com/img/exhibitions/Lightroom_Hockney_Bigger_and_Closer_title_card.jpg	past
David Hockney: Bigger & Closer (not smaller & further away)	North Warehouse, Aviva Studios, Manchester, UK	David Hockney: Bigger & Closer (not smaller & further away)	2025-12-16	2026-01-11	https://factoryinternational.org/whats-on/david-hockney-bigger-and-closer-not-smaller-and-further-away/	https://www.hockney.com/img/exhibitions/Lightroom_Hockney_Bigger_and_Closer_title_card_sm.jpg	past
David Hockney: Bigger & Closer (not smaller & further away)	Shanghai, China	David Hockney: Bigger & Closer (not smaller & further away)	2025-04-29	2025-11-30	https://detail.damai.cn/item.htm?spm=a2oeg.home.searchtxt.ditem_0.591b23e1Ayp64J&id=906636157849	https://www.hockney.com/img/exhibitions/Lightroom_Hockney_Bigger_and_Closer_title_card_sm.jpg	past
David Hockney 25	Fondation Louis Vuitton, Paris, France	27th March 2020, No. 1, 2020	2025-04-09	2025-09-01	https://www.fondationlouisvuitton.fr/en/events/david-hockney-25	https://www.hockney.com/img/exhibitions/0142.jpg	past
David Hockney: Bigger & Closer (not smaller & further away)	Lightroom Ulsan, South Korea	Bigger & Closer (not smaller & further away)	2025-04-01	2025-08-31	http://lightroomulsan.com/	https://www.hockney.com/img/exhibitions/Lightroom_Hockney_Bigger_and_Closer_title_card_sm.jpg	past
David Hockney: From Paper to Screen	Museum of Contemporary Art Belgrade, Belgrade, Serbia	Man in a Museum (or You're in the Wrong Movie), 1962	2025-06-11	2025-08-12	https://msub.org.rs/exhibition/david-hockney-from-paper-to-screen/?lang=en	https://www.hockney.com/img/exhibitions/62A16_crop.jpg	past
The Power of Drawing: Marking 25 Years of the Royal Drawing School	Royal Drawing School, London, UK	Timber Gone, 2008	2025-07-01	2025-07-26	https://www.royaldrawingschool.org/lectures-events/the-power-of-drawing-marking-25-years-of-the-royal-drawing-school/	https://www.hockney.com/img/exhibitions/08B21.jpg	past
British Art - Convergence	Calouste Gulbenkian Foundation, Lisbon, Portugal	Two boys and a tree, 1962	2025-03-14	2025-07-21	https://gulbenkian.pt/cam/en/agenda/british-art/	https://www.hockney.com/img/exhibitions/62A08_0003_CC.jpg	past
David Hockney: Bigger & Closer (not smaller & further away)	Lightroom, London, UK	Bigger & Closer (not smaller & further away)	2025-04-30	2025-06-29	https://lightroom.uk/whats-on/david-hockney/	https://www.hockney.com/img/exhibitions/Lightroom_Hockney_Bigger_and_Closer_title_card_sm.jpg	past
David Hockney: Pieced Together	The National Science and Media Museum, Bradford, UK	The Four Seasons, Woldgate Woods (Spring 2011, Summer 2010, Autumn 2010, Winter 2010)	2025-01-15	2025-05-18	https://www.scienceandmediamuseum.org.uk/whats-on/david-hockney-pieced-together	https://www.hockney.com/img/exhibitions/DM04.jpg	past
David Hockney: Bigger & Closer (not smaller & further away)	Aviva Studios, Manchester, UK	Bigger and Closer (not smaller and further away)	2024-12-10	2025-01-25	https://factoryinternational.org/whats-on/david-hockney-bigger-and-closer/	https://www.hockney.com/img/exhibitions/Lightroom_Hockney_Bigger_and_Closer_title_card_sm.jpg	past
Hockney/Origins: Early Works from the Roy B. and Edith J. Simpson Collection	The Bruce, The Blavatnik Family Gallery, Greenwich, Connecticut	Japanese House and Tree 1978, Acrylic on Canvas	2023-12-06	2024-12-06	https://brucemuseum.org/whats-on/hockneyorigins-early-works-from-the-roy-b-and-edith-j-simpson-collection/	https://www.hockney.com/img/exhibitions/JapaneseHousetreesm.jpg	past
Eyes on the Road: Art of the Automotive Landscape	Petersen Automotive Museum, Los Angeles	Mulholland Drive, June 1986 - Home made print	2024-03-30	2024-11-04	https://www.petersen.org/eyes-on-the-road-exhibit	https://www.hockney.com/img/exhibitions/image.jpeg	past
Hockney and Piero: A Longer Look	National Gallery, London	[Re]curated: David Hockney - The Artist's Eye (1981)	2024-08-08	2024-10-27	https://www.nationalgallery.org.uk/exhibitions/hockney-and-piero-a-longer-look		past
David Hockney: Bigger & Closer (not smaller & further away)	King's Cross, London	Bigger and Closer (not smaller and further away)	2024-06-17	2024-10-06	https://lightroom.uk/whats-on/david-hockney/	https://www.hockney.com/img/exhibitions/Lightroom_Hockney_Bigger_and_Closer_title_card_sm.jpg	past
David Hockney: Normandism. Portraits et paysages	Musée des Beaux-Arts de Rouen, Rouen, France	Giverny by DH 2023, Acrylic on Canvas	2024-03-22	2024-09-22	https://www.normandie-impressionniste.fr/fr/programme/event/722/david-hockney-normandism	https://www.hockney.com/img/exhibitions/23A09_72.jpg	past
David Hockney: Bigger & Closer (not smaller & further away)	Lightroom Seoul, Godeok, Korea	Bigger & Closer (not smaller & further away)	2023-11-01	2024-06-16	https://www.hockney.com/exhibitions/past	https://www.hockney.com/img/exhibitions/Lightroom_Hockney_Bigger_and_Closer_title_card.jpg	past
Turandot	Dorothy Chandler Pavilion, LA Opera	Act II, Scene I, 1 1/2" Scale Final Version from "Turandot" 1990 - Mixed media model	2024-05-18	2024-06-08	https://www.laopera.org/performances/202324-season/turandot/	https://www.hockney.com/img/exhibitions/image.png	past
David Hockney Drawing from Life	National Portrait Gallery, London	Celia, Carennac, August 1971 - Colored Pencil on Paper	2023-11-02	2024-01-21	https://www.npg.org.uk/whatson/exhibitions/2023/hockney-drawing-from-life	https://www.hockney.com/img/exhibitions/71A01.jpg	past
David Hockney	Museum of Contemporary Art Tokyo	Mr. and Mrs. Clark and Percy 1970–1971, Acrylic on canvas	2023-07-15	2023-11-05	https://www.mot-art-museum.jp/en/exhibitions/hockney/	https://www.hockney.com/img/exhibitions/70A34.jpg	past
