slug	label	description	order
digital	Digital Works	The computer is a useful tool. Photoshop is a computer tool for picture making. It in effect allows you to draw directly in a printing machine, one of its many uses. These prints are made by drawing and collage, they exist either in the computer or on a piece of paper.

David Hockney, November 2008	1
drawings	Drawings		2
graphics	Graphics		3
paintings	Paintings		4
photos	Photographs		5
sketchbooks	Sketchbooks		6
stage_design	Stage Design		7
etcetera	Etcetera		8
