category	name	slug	order	label	enabled
digital	computer drawings	computer-drawings	1		true
digital	iPhone	iphone	2		true
digital	iPad Selects	ipad	3		true
digital	arrival of spring woldgate	arrival-of-spring-woldgate	4		true
digital	yosemite suite	yosemite-suite	5		true
digital	digital movies	movies	6		true
drawings	1950s	1950s	1		true
drawings	1960s	1960s	2		true
drawings	1970s	1970s	3		true
drawings	1980s	1980s	4		true
drawings	1990s	1990s	5		true
drawings	2000s	2000s	6		true
drawings	2010s	2010s	7		true
drawings	arrival of spring 2013	arrival-of-spring-2013	8		true
paintings	1950s	50s	1		true
paintings	1960s	60s	2		true
paintings	1970s	70s	3		true
paintings	1980s	80s	4		true
paintings	1990s	90s	5		true
paintings	2000s	00s	6		true
paintings	2010s	10s	7		true
paintings	82 Portraits	82-portraits	8		true
graphics	lithographs	lithographs	1		true
graphics	etchings	etchings	2		true
graphics	a rake's progress etchings	rakes-progress-etchings	3		true
graphics	blue guitar etchings	blue-guitar-etchings	4		true
graphics	homemade prints	prints	5		true
photos	photographic collages	photographic-collages	1		true
photos	composite polaroids	composite-polaroids	2		true
photos	photographic drawings	photo_drawings	3		true
stage_design	the rake's progress	the-rakes-progress	1		true
stage_design	magic flute	magic-flute	2		true
stage_design	french triple bill	french-triple-bill	3		true
stage_design	stravinsky triple bill	stravinsky-triple-bill	4		true
stage_design	tristan und isolde	tristan-und-isolde	5		true
stage_design	turandot	turandot	6		true
stage_design	die frau ohne schatten	die-frau-ohne-schatten	7		true
etcetera	paper pulp	pools	1		true
etcetera	BMW art car	bmw	2		true
